  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.259E+014  1.241E-013  3.836E-020  1.696E-019  2.644E-024  3.204E-020  6.685E-013  1.548E-013  2.880E-020  2.266E-015  2.444E-020
   1.413E+014  1.424E-013  2.677E-020  2.131E-019  4.521E-024  4.039E-020  9.961E-013  1.956E-013  2.011E-020  1.521E-015  3.047E-020
   1.585E+014  1.633E-013  1.731E-020  3.449E-019  6.365E-024  5.094E-020  1.362E-012  2.361E-013  1.304E-020  9.474E-016  3.797E-020
   1.778E+014  1.872E-013  1.045E-020  6.209E-019  8.118E-024  6.429E-020  1.785E-012  2.819E-013  7.914E-021  5.527E-016  4.731E-020
   1.995E+014  2.145E-013  5.954E-021  1.128E-018  9.755E-024  8.121E-020  2.282E-012  3.344E-013  4.563E-021  3.062E-016  5.892E-020
   2.239E+014  2.459E-013  3.254E-021  2.068E-018  1.126E-023  1.027E-019  2.865E-012  3.950E-013  2.571E-021  1.657E-016  7.336E-020
   2.512E+014  2.819E-013  1.784E-021  3.836E-018  1.261E-023  1.299E-019  3.549E-012  4.655E-013  1.511E-021  9.343E-017  9.131E-020
   2.818E+014  3.231E-013  1.081E-021  7.203E-018  1.380E-023  1.646E-019  4.345E-012  5.476E-013  1.040E-021  6.163E-017  1.136E-019
   3.162E+014  3.703E-013  8.265E-022  1.370E-017  1.482E-023  2.087E-019  5.269E-012  6.437E-013  9.226E-022  5.235E-017  1.413E-019
   3.548E+014  4.245E-013  8.242E-022  2.645E-017  1.567E-023  2.650E-019  6.332E-012  7.563E-013  1.017E-021  5.530E-017  1.757E-019
   3.981E+014  4.866E-013  9.705E-022  5.183E-017  1.627E-023  3.370E-019  7.549E-012  8.886E-013  1.254E-021  6.530E-017  2.184E-019
   4.467E+014  5.578E-013  1.221E-021  1.032E-016  1.704E-023  4.292E-019  8.936E-012  1.044E-012  1.608E-021  8.026E-017  2.714E-019
   5.012E+014  6.395E-013  1.568E-021  2.090E-016  1.828E-023  5.477E-019  1.051E-011  1.226E-012  2.087E-021  9.976E-017  3.371E-019
   5.623E+014  7.331E-013  2.022E-021  4.311E-016  2.009E-023  7.000E-019  1.228E-011  1.441E-012  2.713E-021  1.242E-016  4.185E-019
   6.310E+014  8.405E-013  2.613E-021  9.043E-016  2.262E-023  8.967E-019  1.428E-011  1.691E-012  3.530E-021  1.547E-016  5.194E-019
   7.079E+014  9.636E-013  3.375E-021  1.928E-015  2.605E-023  1.151E-018  1.653E-011  1.982E-012  4.589E-021  1.924E-016  6.444E-019
   7.943E+014  1.105E-012  4.356E-021  4.159E-015  3.060E-023  1.482E-018  1.904E-011  2.317E-012  5.963E-021  2.391E-016  7.992E-019
   8.913E+014  1.267E-012  5.621E-021  9.008E-015  3.657E-023  1.912E-018  2.186E-011  2.695E-012  7.741E-021  2.966E-016  9.908E-019
   1.000E+015  1.452E-012  7.250E-021  1.926E-014  4.428E-023  2.475E-018  2.500E-011  3.108E-012  1.004E-020  3.674E-016  1.228E-018
   1.122E+015  1.665E-012  9.348E-021  3.985E-014  5.406E-023  3.214E-018  2.852E-011  3.536E-012  1.302E-020  4.544E-016  1.521E-018
   1.259E+015  1.909E-012  1.205E-020  7.718E-014  6.624E-023  4.189E-018  3.244E-011  3.945E-012  1.686E-020  5.609E-016  1.883E-018
   1.413E+015  2.189E-012  1.552E-020  1.368E-013  8.098E-023  5.480E-018  3.682E-011  4.297E-012  2.181E-020  6.912E-016  2.331E-018
   1.585E+015  2.510E-012  1.998E-020  2.201E-013  9.834E-023  7.201E-018  4.170E-011  4.567E-012  2.820E-020  8.499E-016  2.884E-018
   1.778E+015  2.878E-012  2.572E-020  3.254E-013  1.183E-022  9.505E-018  4.714E-011  4.755E-012  3.642E-020  1.043E-015  3.566E-018
   1.995E+015  3.299E-012  3.309E-020  4.527E-013  1.397E-022  1.261E-017  5.320E-011  4.881E-012  4.697E-020  1.276E-015  4.409E-018
   2.239E+015  3.782E-012  4.256E-020  6.049E-013  1.628E-022  1.682E-017  5.996E-011  4.967E-012  6.052E-020  1.559E-015  5.447E-018
   2.512E+015  4.336E-012  5.471E-020  7.897E-013  1.879E-022  2.257E-017  6.748E-011  5.035E-012  7.789E-020  1.899E-015  6.727E-018
   2.818E+015  4.970E-012  7.030E-020  1.017E-012  2.151E-022  3.049E-017  7.587E-011  5.096E-012  1.001E-019  2.306E-015  8.304E-018
   3.162E+015  5.696E-012  9.030E-020  1.299E-012  2.447E-022  4.146E-017  8.521E-011  5.157E-012  1.285E-019  2.794E-015  1.024E-017
   3.548E+015  6.527E-012  1.159E-019  1.651E-012  2.769E-022  5.683E-017  9.560E-011  5.222E-012  1.646E-019  3.374E-015  1.263E-017
   3.981E+015  7.478E-012  1.488E-019  2.089E-012  3.123E-022  7.854E-017  1.072E-010  5.294E-012  2.107E-019  4.063E-015  1.557E-017
   4.467E+015  8.566E-012  1.908E-019  2.631E-012  3.513E-022  1.095E-016  1.201E-010  5.372E-012  2.692E-019  4.877E-015  1.917E-017
   5.012E+015  9.810E-012  2.447E-019  3.303E-012  3.944E-022  1.542E-016  1.344E-010  5.458E-012  3.433E-019  5.835E-015  2.359E-017
   5.623E+015  1.123E-011  3.136E-019  4.131E-012  4.422E-022  2.195E-016  1.504E-010  5.554E-012  4.371E-019  6.960E-015  2.901E-017
   6.310E+015  1.286E-011  4.018E-019  5.149E-012  4.954E-022  3.159E-016  1.682E-010  5.659E-012  5.556E-019  8.275E-015  3.564E-017
   7.079E+015  1.473E-011  5.145E-019  6.398E-012  5.547E-022  4.601E-016  1.882E-010  5.776E-012  7.049E-019  9.807E-015  4.373E-017
   7.943E+015  1.693E-011  6.586E-019  7.933E-012  6.202E-022  6.789E-016  2.114E-010  5.902E-012  8.928E-019  1.159E-014  5.357E-017
   8.913E+015  1.967E-011  8.429E-019  9.833E-012  6.907E-022  1.016E-015  2.415E-010  6.031E-012  1.129E-018  1.364E-014  6.551E-017
   1.000E+016  2.357E-011  1.079E-018  1.224E-011  7.601E-022  1.541E-015  2.931E-010  6.131E-012  1.428E-018  1.601E-014  7.989E-017
   1.122E+016  3.037E-011  1.384E-018  1.544E-011  8.100E-022  2.373E-015  4.145E-010  6.097E-012  1.809E-018  1.872E-014  9.711E-017
   1.259E+016  4.469E-011  1.784E-018  2.000E-011  7.974E-022  3.700E-015  7.510E-010  5.648E-012  2.304E-018  2.180E-014  1.175E-016
   1.413E+016  7.790E-011  2.339E-018  2.687E-011  6.531E-022  5.886E-015  1.690E-009  4.315E-012  2.964E-018  2.527E-014  1.411E-016
   1.585E+016  1.562E-010  3.201E-018  3.715E-011  3.594E-022  9.461E-015  4.162E-009  2.106E-012  3.892E-018  2.933E-014  1.679E-016
   1.778E+016  3.365E-010  4.790E-018  5.173E-011  9.029E-023  1.539E-014  1.020E-008  4.960E-013  5.434E-018  3.527E-014  1.970E-016
   1.995E+016  7.355E-010  8.368E-018  7.370E-011  6.423E-024  2.519E-014  2.388E-008  1.627E-013  8.733E-018  4.724E-014  2.268E-016
   2.239E+016  1.583E-009  1.765E-017  1.072E-010  4.406E-025  4.131E-014  5.275E-008  1.302E-013  1.687E-017  7.295E-014  2.546E-016
   2.512E+016  3.313E-009  4.161E-017  1.508E-010  1.345E-025  6.745E-014  1.098E-007  1.265E-013  3.695E-017  1.203E-013  2.773E-016
   2.818E+016  6.717E-009  9.595E-017  1.934E-010  5.452E-026  1.090E-013  2.163E-007  1.364E-013  8.062E-017  1.821E-013  2.941E-016
   3.162E+016  1.317E-008  1.990E-016  2.203E-010  2.692E-026  1.739E-013  4.047E-007  1.539E-013  1.614E-016  2.337E-013  3.124E-016
   3.548E+016  2.491E-008  3.694E-016  2.281E-010  1.618E-026  2.745E-013  7.235E-007  1.748E-013  2.963E-016  2.640E-013  3.566E-016
   3.981E+016  4.531E-008  6.335E-016  2.230E-010  1.171E-026  4.321E-013  1.242E-006  1.968E-013  5.149E-016  2.813E-013  4.730E-016
   4.467E+016  7.892E-008  1.026E-015  2.106E-010  9.696E-027  6.880E-013  2.056E-006  2.137E-013  8.717E-016  2.915E-013  7.106E-016
   5.012E+016  1.315E-007  1.583E-015  1.928E-010  8.900E-027  1.132E-012  3.291E-006  2.182E-013  1.490E-015  2.990E-013  1.112E-015
   5.623E+016  2.109E-007  2.399E-015  1.770E-010  9.862E-027  1.984E-012  5.082E-006  2.269E-013  2.846E-015  3.237E-013  1.731E-015
   6.310E+016  3.273E-007  4.095E-015  1.895E-010  1.356E-026  3.774E-012  7.568E-006  2.723E-013  6.972E-015  4.154E-013  2.855E-015
   7.079E+016  4.919E-007  9.112E-015  2.740E-010  2.443E-026  7.528E-012  1.084E-005  4.211E-013  2.264E-014  6.841E-013  6.135E-015
   7.943E+016  7.094E-007  2.830E-014  5.546E-010  5.723E-026  1.385E-011  1.486E-005  8.575E-013  8.767E-014  1.485E-012  1.524E-014
   8.913E+016  9.670E-007  1.035E-013  1.306E-009  1.381E-025  2.010E-011  1.942E-005  1.835E-012  3.196E-013  3.769E-012  3.125E-014
   1.000E+017  1.243E-006  3.218E-013  2.585E-009  2.669E-025  2.315E-011  2.422E-005  3.158E-012  8.962E-013  8.609E-012  4.135E-014
   1.122E+017  1.525E-006  7.549E-013  3.841E-009  3.794E-025  2.345E-011  2.886E-005  4.183E-012  1.921E-012  1.555E-011  3.362E-014
   1.259E+017  1.809E-006  1.404E-012  4.506E-009  4.078E-025  2.202E-011  3.293E-005  4.553E-012  3.395E-012  2.240E-011  1.786E-014
   1.413E+017  2.095E-006  2.199E-012  4.419E-009  3.498E-025  1.944E-011  3.611E-005  4.307E-012  5.228E-012  2.654E-011  7.568E-015
   1.585E+017  2.388E-006  2.990E-012  3.715E-009  2.485E-025  1.645E-011  3.828E-005  3.619E-012  7.167E-012  2.608E-011  4.099E-015
   1.778E+017  2.700E-006  3.586E-012  2.695E-009  1.494E-025  1.396E-011  3.953E-005  2.683E-012  8.749E-012  2.104E-011  3.391E-015
   1.995E+017  3.043E-006  3.883E-012  1.691E-009  7.754E-026  1.283E-011  4.012E-005  1.712E-012  9.391E-012  1.361E-011  3.373E-015
   2.239E+017  3.428E-006  3.995E-012  9.286E-010  3.541E-026  1.357E-011  4.035E-005  9.060E-013  8.673E-012  6.838E-012  3.622E-015
   2.512E+017  3.865E-006  4.219E-012  4.611E-010  1.420E-026  1.640E-011  4.042E-005  3.830E-013  6.734E-012  2.577E-012  3.888E-015
   2.818E+017  4.366E-006  4.795E-012  2.172E-010  4.783E-027  2.161E-011  4.044E-005  1.254E-013  4.336E-012  7.104E-013  3.731E-015
   3.162E+017  4.943E-006  5.763E-012  1.002E-010  1.281E-027  2.994E-011  4.044E-005  3.139E-014  2.310E-012  1.411E-013  2.844E-015
   3.548E+017  5.600E-006  7.056E-012  4.600E-011  2.694E-028  4.333E-011  4.044E-005  6.119E-015  1.021E-012  1.998E-014  1.654E-015
   3.981E+017  5.095E-006  8.505E-012  2.012E-011  4.424E-029  6.591E-011  4.044E-005  9.461E-016  3.739E-013  2.006E-015  8.399E-016
   4.467E+017  7.797E-007  8.910E-012  3.963E-012  3.013E-030  9.908E-011  4.044E-005  6.865E-017  1.109E-013  1.605E-016  5.475E-016
   5.012E+017  5.035E-007  8.885E-012  1.077E-012  2.157E-031  1.369E-010  4.044E-005  5.622E-018  2.801E-014  1.015E-017  5.052E-016
   RADIUS      C           CH+         CH          CH-         N+          N           CH2         CH2+        CH3+        NH+         



   RADIUS      CH3         NH          CH4+        CH4         O+          NH2         NH2+        O-          O           NH3+        
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  8.952E-016  1.634E-015  2.254E-027  5.038E-015  7.375E-021  2.489E-014  1.510E-019  8.643E-030  4.393E-014  2.957E-017
   1.259E+014  3.465E-015  4.494E-015  2.202E-027  1.720E-014  9.573E-021  1.013E-013  1.827E-019  2.749E-029  9.429E-014  4.002E-017
   1.413E+014  7.085E-015  1.073E-014  3.769E-027  2.931E-014  1.242E-020  2.546E-013  2.211E-019  7.033E-029  2.081E-013  5.407E-017
   1.585E+014  1.135E-014  2.165E-014  6.563E-027  3.752E-014  1.612E-020  5.918E-013  2.674E-019  1.769E-028  4.711E-013  7.292E-017
   1.778E+014  1.558E-014  3.744E-014  1.038E-026  4.198E-014  2.090E-020  1.347E-012  3.234E-019  4.481E-028  1.082E-012  9.820E-017
   1.995E+014  1.907E-014  5.747E-014  1.495E-026  4.404E-014  2.710E-020  2.954E-012  3.910E-019  1.125E-027  2.465E-012  1.320E-016
   2.239E+014  2.152E-014  8.111E-014  2.006E-026  4.488E-014  3.512E-020  6.056E-012  4.726E-019  2.699E-027  5.368E-012  1.772E-016
   2.512E+014  2.306E-014  1.082E-013  2.568E-026  4.521E-014  4.550E-020  1.132E-011  5.710E-019  5.933E-027  1.071E-011  2.375E-016
   2.818E+014  2.395E-014  1.389E-013  3.196E-026  4.535E-014  5.893E-020  1.916E-011  6.897E-019  1.160E-026  1.899E-011  3.176E-016
   3.162E+014  2.447E-014  1.735E-013  3.916E-026  4.543E-014  7.631E-020  2.958E-011  8.329E-019  2.015E-026  2.991E-011  4.240E-016
   3.548E+014  2.478E-014  2.125E-013  4.760E-026  4.549E-014  9.876E-020  4.238E-011  1.005E-018  3.174E-026  4.270E-011  5.648E-016
   3.981E+014  2.502E-014  2.565E-013  5.764E-026  4.556E-014  1.278E-019  5.731E-011  1.213E-018  4.657E-026  5.677E-011  7.504E-016
   4.467E+014  2.523E-014  3.061E-013  6.969E-026  4.566E-014  1.653E-019  7.428E-011  1.464E-018  6.522E-026  7.201E-011  9.944E-016
   5.012E+014  2.546E-014  3.620E-013  8.425E-026  4.578E-014  2.137E-019  9.330E-011  1.766E-018  8.869E-026  8.865E-011  1.314E-015
   5.623E+014  2.571E-014  4.241E-013  1.019E-025  4.594E-014  2.762E-019  1.145E-010  2.129E-018  1.184E-025  1.071E-010  1.731E-015
   6.310E+014  2.602E-014  4.939E-013  1.234E-025  4.616E-014  3.569E-019  1.380E-010  2.566E-018  1.563E-025  1.279E-010  2.274E-015
   7.079E+014  2.637E-014  5.724E-013  1.497E-025  4.645E-014  4.609E-019  1.641E-010  3.092E-018  2.048E-025  1.515E-010  2.978E-015
   7.943E+014  2.680E-014  6.609E-013  1.821E-025  4.682E-014  5.950E-019  1.930E-010  3.725E-018  2.670E-025  1.783E-010  3.886E-015
