  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   3.548E+015  1.612E-005  2.863E-013  4.078E-006  6.840E-016  1.404E-010  2.361E-004  1.290E-005  4.066E-013  8.333E-009  3.120E-011
   3.981E+015  1.467E-005  2.918E-013  4.097E-006  6.127E-016  1.541E-010  2.103E-004  1.038E-005  4.133E-013  7.970E-009  3.054E-011
   4.467E+015  1.335E-005  2.974E-013  4.101E-006  5.474E-016  1.707E-010  1.871E-004  8.371E-006  4.194E-013  7.599E-009  2.987E-011
   5.012E+015  1.214E-005  3.029E-013  4.089E-006  4.881E-016  1.909E-010  1.664E-004  6.756E-006  4.250E-013  7.223E-009  2.920E-011
   5.623E+015  1.104E-005  3.083E-013  4.062E-006  4.347E-016  2.158E-010  1.479E-004  5.461E-006  4.298E-013  6.843E-009  2.852E-011
   6.310E+015  1.004E-005  3.138E-013  4.022E-006  3.869E-016  2.467E-010  1.314E-004  4.420E-006  4.339E-013  6.463E-009  2.783E-011
   7.079E+015  9.139E-006  3.192E-013  3.969E-006  3.441E-016  2.854E-010  1.167E-004  3.583E-006  4.373E-013  6.084E-009  2.713E-011
   7.943E+015  8.342E-006  3.245E-013  3.909E-006  3.056E-016  3.345E-010  1.041E-004  2.908E-006  4.399E-013  5.709E-009  2.640E-011
   8.913E+015  7.698E-006  3.299E-013  3.849E-006  2.704E-016  3.975E-010  9.454E-005  2.361E-006  4.420E-013  5.341E-009  2.564E-011
   1.000E+016  7.327E-006  3.355E-013  3.806E-006  2.363E-016  4.791E-010  9.113E-005  1.906E-006  4.440E-013  4.979E-009  2.484E-011
   1.122E+016  7.500E-006  3.417E-013  3.814E-006  2.001E-016  5.860E-010  1.024E-004  1.506E-006  4.468E-013  4.623E-009  2.398E-011
   1.259E+016  8.767E-006  3.500E-013  3.923E-006  1.564E-016  7.259E-010  1.473E-004  1.108E-006  4.520E-013  4.276E-009  2.304E-011
   1.413E+016  1.214E-005  3.645E-013  4.188E-006  1.018E-016  9.172E-010  2.633E-004  6.725E-007  4.619E-013  3.938E-009  2.199E-011
   1.585E+016  1.934E-005  3.962E-013  4.598E-006  4.448E-017  1.171E-009  5.152E-004  2.607E-007  4.818E-013  3.631E-009  2.078E-011
   1.778E+016  3.308E-005  4.709E-013  5.086E-006  8.877E-018  1.513E-009  1.003E-003  4.876E-008  5.343E-013  3.468E-009  1.936E-011
   1.995E+016  5.744E-005  6.535E-013  5.756E-006  5.016E-019  1.967E-009  1.865E-003  1.270E-008  6.820E-013  3.690E-009  1.771E-011
   2.239E+016  9.820E-005  1.095E-012  6.650E-006  2.733E-020  2.563E-009  3.272E-003  8.079E-009  1.047E-012  4.526E-009  1.579E-011
   2.512E+016  1.633E-004  2.051E-012  7.430E-006  6.629E-021  3.324E-009  5.412E-003  6.233E-009  1.821E-012  5.928E-009  1.366E-011
   2.818E+016  2.629E-004  3.756E-012  7.569E-006  2.134E-021  4.266E-009  8.467E-003  5.341E-009  3.155E-012  7.128E-009  1.151E-011
   3.162E+016  4.094E-004  6.186E-012  6.850E-006  8.370E-022  5.406E-009  1.258E-002  4.784E-009  5.020E-012  7.266E-009  9.714E-012
   3.548E+016  6.152E-004  9.122E-012  5.632E-006  3.996E-022  6.779E-009  1.787E-002  4.316E-009  7.317E-012  6.520E-009  8.808E-012
   3.981E+016  8.888E-004  1.243E-011  4.376E-006  2.297E-022  8.476E-009  2.436E-002  3.861E-009  1.010E-011  5.518E-009  9.278E-012
   4.467E+016  1.230E-003  1.599E-011  3.282E-006  1.511E-022  1.072E-008  3.204E-002  3.330E-009  1.358E-011  4.542E-009  1.107E-011
   5.012E+016  1.628E-003  1.959E-011  2.387E-006  1.102E-022  1.402E-008  4.074E-002  2.701E-009  1.844E-011  3.701E-009  1.376E-011
   5.623E+016  2.074E-003  2.359E-011  1.740E-006  9.696E-023  1.951E-008  4.997E-002  2.231E-009  2.799E-011  3.182E-009  1.702E-011
   6.310E+016  2.556E-003  3.198E-011  1.480E-006  1.059E-022  2.948E-008  5.911E-002  2.127E-009  5.445E-011  3.244E-009  2.230E-011
   7.079E+016  3.052E-003  5.653E-011  1.700E-006  1.516E-022  4.670E-008  6.724E-002  2.612E-009  1.405E-010  4.244E-009  3.806E-011
   7.943E+016  3.496E-003  1.394E-010  2.733E-006  2.820E-022  6.826E-008  7.322E-002  4.225E-009  4.320E-010  7.316E-009  7.511E-011
   8.913E+016  3.785E-003  4.052E-010  5.110E-006  5.406E-022  7.867E-008  7.603E-002  7.181E-009  1.251E-009  1.475E-008  1.223E-010
   1.000E+017  3.865E-003  1.001E-009  8.036E-006  8.299E-022  7.196E-008  7.530E-002  9.820E-009  2.786E-009  2.677E-008  1.286E-010
   1.122E+017  3.767E-003  1.864E-009  9.486E-006  9.369E-022  5.791E-008  7.127E-002  1.033E-008  4.743E-009  3.839E-008  8.304E-011
   1.259E+017  3.550E-003  2.755E-009  8.840E-006  8.001E-022  4.320E-008  6.460E-002  8.932E-009  6.660E-009  4.394E-008  3.503E-011
   1.413E+017  3.265E-003  3.427E-009  6.885E-006  5.452E-022  3.030E-008  5.628E-002  6.712E-009  8.147E-009  4.135E-008  1.179E-011
   1.585E+017  2.956E-003  3.702E-009  4.598E-006  3.076E-022  2.036E-008  4.738E-002  4.479E-009  8.871E-009  3.228E-008  5.074E-012
   1.778E+017  2.655E-003  3.526E-009  2.649E-006  1.469E-022  1.373E-008  3.886E-002  2.638E-009  8.602E-009  2.069E-008  3.334E-012
   1.995E+017  2.377E-003  3.032E-009  1.321E-006  6.056E-023  1.002E-008  3.134E-002  1.337E-009  7.334E-009  1.063E-008  2.634E-012
   2.239E+017  2.127E-003  2.478E-009  5.761E-007  2.197E-023  8.417E-009  2.503E-002  5.621E-010  5.380E-009  4.242E-009  2.247E-012
   2.512E+017  1.905E-003  2.079E-009  2.272E-007  7.000E-024  8.083E-009  1.992E-002  1.887E-010  3.318E-009  1.270E-009  1.916E-012
   2.818E+017  1.709E-003  1.877E-009  8.500E-008  1.872E-024  8.457E-009  1.583E-002  4.908E-011  1.697E-009  2.780E-010  1.460E-012
   3.162E+017  1.537E-003  1.792E-009  3.117E-008  3.983E-025  9.310E-009  1.257E-002  9.760E-012  7.182E-010  4.388E-011  8.841E-013
   3.548E+017  1.383E-003  1.743E-009  1.136E-008  6.655E-026  1.070E-008  9.988E-003  1.511E-012  2.523E-010  4.935E-012  4.085E-013
   3.981E+017  9.996E-004  1.668E-009  3.947E-009  8.678E-027  1.293E-008  7.934E-003  1.856E-013  7.335E-011  3.935E-013  1.648E-013
   4.467E+017  1.215E-004  1.388E-009  6.175E-010  4.695E-028  1.544E-008  6.302E-003  1.070E-014  1.728E-011  2.501E-014  8.532E-014
   5.012E+017  6.232E-005  1.100E-009  1.333E-010  2.670E-029  1.695E-008  5.006E-003  6.958E-016  3.467E-012  1.256E-015  6.253E-014
   RADIUS      C           CH+         CH          CH-         N+          N           CH2         CH2+        CH3+        NH+         



   RADIUS      CH3         NH          CH4+        CH4         O+          NH2         NH2+        O-          O           NH3+        
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  2.211E-006  4.036E-006  5.568E-018  1.244E-005  1.821E-011  6.147E-005  3.728E-010  2.134E-020  1.085E-004  7.302E-008
   1.259E+014  6.798E-006  8.816E-006  4.320E-018  3.375E-005  1.878E-011  1.987E-004  3.584E-010  5.392E-020  1.850E-004  7.851E-008
   1.413E+014  1.104E-005  1.672E-005  5.873E-018  4.567E-005  1.936E-011  3.967E-004  3.445E-010  1.096E-019  3.243E-004  8.425E-008
   1.585E+014  1.405E-005  2.680E-005  8.124E-018  4.644E-005  1.995E-011  7.325E-004  3.310E-010  2.189E-019  5.831E-004  9.026E-008
   1.778E+014  1.532E-005  3.681E-005  1.021E-017  4.128E-005  2.055E-011  1.324E-003  3.180E-010  4.405E-019  1.064E-003  9.655E-008
   1.995E+014  1.489E-005  4.488E-005  1.167E-017  3.440E-005  2.116E-011  2.307E-003  3.053E-010  8.784E-019  1.925E-003  1.031E-007
   2.239E+014  1.335E-005  5.032E-005  1.244E-017  2.784E-005  2.179E-011  3.757E-003  2.932E-010  1.675E-018  3.330E-003  1.099E-007
   2.512E+014  1.136E-005  5.331E-005  1.266E-017  2.228E-005  2.242E-011  5.579E-003  2.814E-010  2.924E-018  5.275E-003  1.170E-007
   2.818E+014  9.376E-006  5.436E-005  1.251E-017  1.775E-005  2.307E-011  7.499E-003  2.700E-010  4.541E-018  7.432E-003  1.243E-007
   3.162E+014  7.607E-006  5.394E-005  1.218E-017  1.412E-005  2.372E-011  9.198E-003  2.590E-010  6.266E-018  9.300E-003  1.318E-007
   3.548E+014  6.120E-006  5.248E-005  1.176E-017  1.123E-005  2.439E-011  1.047E-002  2.483E-010  7.839E-018  1.055E-002  1.395E-007
   3.981E+014  4.907E-006  5.032E-005  1.131E-017  8.938E-006  2.507E-011  1.124E-002  2.380E-010  9.136E-018  1.114E-002  1.472E-007
   4.467E+014  3.932E-006  4.770E-005  1.086E-017  7.115E-006  2.576E-011  1.157E-002  2.281E-010  1.016E-017  1.122E-002  1.549E-007
   5.012E+014  3.151E-006  4.481E-005  1.043E-017  5.667E-006  2.645E-011  1.155E-002  2.186E-010  1.098E-017  1.097E-002  1.626E-007
   5.623E+014  2.528E-006  4.170E-005  1.002E-017  4.517E-006  2.716E-011  1.126E-002  2.093E-010  1.164E-017  1.053E-002  1.702E-007
   6.310E+014  2.032E-006  3.857E-005  9.639E-018  3.605E-006  2.787E-011  1.078E-002  2.004E-010  1.221E-017  9.987E-003  1.776E-007
   7.079E+014  1.636E-006  3.551E-005  9.288E-018  2.881E-006  2.859E-011  1.018E-002  1.918E-010  1.271E-017  9.396E-003  1.847E-007
   7.943E+014  1.321E-006  3.256E-005  8.972E-018  2.307E-006  2.932E-011  9.510E-003  1.835E-010  1.316E-017  8.788E-003  1.915E-007
   8.913E+014  1.070E-006  2.976E-005  8.699E-018  1.852E-006  3.006E-011  8.804E-003  1.755E-010  1.357E-017  8.183E-003  1.978E-007
   1.000E+015  8.706E-007  2.713E-005  8.479E-018  1.492E-006  3.080E-011  8.088E-003  1.678E-010  1.395E-017  7.593E-003  2.036E-007
   1.122E+015  7.134E-007  2.467E-005  8.328E-018  1.206E-006  3.155E-011  7.383E-003  1.604E-010  1.430E-017  7.024E-003  2.089E-007
   1.259E+015  5.904E-007  2.239E-005  8.267E-018  9.799E-007  3.230E-011  6.702E-003  1.533E-010  1.463E-017  6.479E-003  2.134E-007
